Sample in Buffer,Sample in Window,TRIGGER,M_ADC_DATA[11:0]
1396,1396,0,2066
1397,1397,0,1966
1398,1398,0,2118
1399,1399,0,2054
1400,1400,0,1971
1401,1401,0,2131
1402,1402,0,2034
1403,1403,0,1979
1404,1404,0,2135
1405,1405,0,2016
1406,1406,0,1988
1407,1407,0,2138
1408,1408,0,2009
1409,1409,0,2007
1410,1410,0,2143
1411,1411,0,1995
1412,1412,0,2009
1413,1413,0,2142
1414,1414,0,1982
1415,1415,0,2024
1416,1416,0,2141
1417,1417,0,1963
1418,1418,0,2040
1419,1419,0,2141
1420,1420,0,1958
1421,1421,0,2054
1422,1422,0,2140
1423,1423,0,1951
1424,1424,0,2069
1425,1425,0,2118
1426,1426,0,1940
1427,1427,0,2080
1428,1428,0,2126
1429,1429,0,1937
1430,1430,0,2091
1431,1431,0,2115
1432,1432,0,1932
